codigo_estacion,latitud,longitud,altura,zona_geografica,zona_koppen,temp_media,precip_anual,aridez,frecuencia_lluvia,macrozona,clima_koppen,cluster
430002,-43.18889,-71.85222,350.0,Valle,Cfb,9.639978101042479,1690.713581668227,86.085308902584,0.4375684556407448,Zona Sur,Oceanico templado,2
430009,-43.89778,-73.73944,11.0,Litoral,Cfb,10.691675831428102,2054.194407126043,99.27636716625801,0.6807228915662651,Zona Austral,Oceanico templado,2
440004,-44.32333,-72.55528,11.0,Litoral,Cfb,9.25677113663676,1701.9277000946563,88.38074088426343,0.8553940321346595,Zona Austral,Oceanico templado,2
450001,-45.39944,-72.67722,10.0,Valle,Cfb,9.284392066854833,1792.6377313093233,92.95795921876272,0.6730558598028478,Zona Austral,Oceanico templado,2
450004,-45.59083,-72.10222,299.0,Valle,Cfb,8.499999999498126,927.3518648761175,50.12712783250135,0.46166484118291345,Zona Austral,Oceanico templado,2
450005,-45.91833,-71.67778,517.0,Valle,Csb,7.200328582100089,469.98247590462745,27.3240405647672,0.38608981380065716,Zona Austral,Mediterraneo de verano templado,5
480002,-48.47139,-72.56028,280.0,Valle,BSk,8.46122693137836,760.7031781842926,41.20545080843642,0.7420591456736035,Zona Austral,Estepa fria (semiarido),2
510005,-51.66722,-72.52889,69.0,Valle,Cfc,6.796221260209889,611.3849953757262,36.40015131403944,0.45618838992332966,Zona Austral,Oceanico subpolar,5
510020,-51.21667,-72.97028,22.0,Valle,Cfc,7.649087590818042,612.6405115250539,34.7123050057149,0.5355839416058394,Zona Austral,Oceanico subpolar,5
520006,-53.00167,-70.83861,43.0,Litoral,BSk,6.660952899197008,285.2437026588999,17.120491509981253,0.3778751369112815,Zona Austral,Estepa fria (semiarido),5
520012,-53.13,-70.8875,11.0,Litoral,Cfc,6.533953996160989,453.7113913560953,27.44119110658239,0.4474260679079956,Zona Austral,Oceanico subpolar,5
520014,-53.15278,-70.92639,53.0,Litoral,BSk,7.089923330793832,471.1418409856712,27.568399920012197,0.5147864184008762,Zona Austral,Estepa fria (semiarido),5
520015,-52.42889,-71.41611,176.0,Valle,BSk,6.022562981133328,296.69742615667025,18.517476043379165,0.42332968236582696,Zona Austral,Estepa fria (semiarido),5
520030,-52.77639,-69.29472,64.0,Litoral,BSk,6.323439216851241,206.4268893688338,12.64604147609606,0.40251916757940853,Zona Austral,Estepa fria (semiarido),4
530005,-53.25361,-70.32611,25.0,Litoral,Cfc,6.566265063407257,419.90991300883877,25.34728928950712,0.3833515881708653,Zona Austral,Oceanico subpolar,5
530008,-53.16694,-70.94528,60.0,Litoral,BSk,6.426692374395058,598.4232285566296,36.42992849183782,0.6208035222894882,Zona Austral,Estepa fria (semiarido),5
550001,-54.93167,-67.61556,12.0,Litoral,Dfc,6.202847759795313,555.4556408276025,34.281358997019886,0.5388828039430449,Zona Austral,Subartico (boreal),5
950001,-62.19194,-58.97972,45.0,Litoral,ET,-1.806297913063134,484.0547647303315,59.0764418323257,0.47480832420591457,Zona Austral,Tundra (frio de altura/polar),5
